Term,Frequency
Ausbildung,15
Fachkraft,1
bundesweit,7
schulgeldfrei,1
erfolgt,3
vergütet,1
Qualitativ,1
Fortbildungsmöglichkeiten,1
werten,1
Berufsbild,1
Erzieherinnen,2
Erziehern,1
Sprache,2
früh,2
mindestens,5
Einschulung,1
Deutschtest,1
teilnimmt,1
Sprachdefizite,1
Erzieher,1
kinderärztlichen,1
Untersuchungen,1
erkannt,1
frühzeitig,4
Fördermaßnahmen,2
ausgeglichen,1
gerechtere,1
Startchancen,1
verschaffen,1
altersgerechte,1
Vermittlung,3
Fremdsprachen,1
Kindesalter,1
Konzepte,2
spielerisch,1
Sprachen,1
erlernen,1
MINT,6
Mädchen,2
Offensive,3
Mathematik,1
Informatik,3
Naturwissenschaften,1
Technik,4
frühzeitige,5
verpflichtende,3
Qualitäts,1
Pädagoginnen,1
Pädagogen,1
experimentelles,2
forschendes,1
ausgebildet,2
gezieltes,1
Maßnahmenpaket,1
Außerschulische,1
Haus,2
Experimentelles,1
Kreativzonen,2
MakerSpaces,5
Medien,3
zentrale,2
Rolle,9
spielen,6
verstärkte,2
Kooperationen,2
außerschulischen,2
Errichtung,1
Pilotschulen,1
einrichten,3
Lehrkräfte,4
weitergebildet,2
unternehmerischen,1
selbstständigen,1
Lebenswegen,1
Schulfach,1
Einführung,9
Schulfächer,1
ausreichend,5
angeboten,2
obwohl,2
heutzutage,1
Rechnen,1
Lesen,1
Schreiben,1
Basiswissen,1
Schülern,4
Kenntnisse,1
Wirtschaftssystem,1
Gründergeist,1
Innovationsfreude,1
Schulalter,1
Desinformation,3
Hatespeech,1
Cybermobbing,1
Datenschutz,6
Sucht,1
umgehen,1
Kompetenzen,12
Einbindung,2
außerschulischer,1
Akteure,4
Qualitätskriterien,1
Leitfäden,1
Engagierte,1
Wissenschaftlerinnen,2
Wissenschaftler,1
Expertinnen,1
Experten,1
Alters,2
lebens,1
alltagsnah,1
erzählen,1
Ausprobieren,1
erläutern,1
Elternhaus,1
Zivilklauseln,2
pauschale,3
Aussperren,1
Parteien,1
Bundeswehr,5
Bildungsbereich,2
Aufstiegspatenschaften,1
einzubinden,3
Jugendlichen,8
bildungsfernen,1
Elternhäusern,2
helfen,6
beruflichen,13
Bildungsabschlüssen,1
Hochschule,3
Beratung,7
Lebens,4
Aufstiegspläne,1
nichtakademischen,1
geebnet,1
Patenschaft,1
Organisationen,6
ArbeiterKind,1
de,1
Fragen,6
Studienfinanzierung,2
Bewerbung,1
Stipendien,1
Planung,2
Auslandssemestern,1
Ergänzung,2
Kammern,1
Hochschulen,14
Aufstiegsscouts,1
Ansprechpersonen,2
fungieren,1
Berufsausbildung,2
Studium,3
informieren,2
Netzwerke,5
knüpfen,1
Weltbeste,1
Stärkung,19
Lehrerberufs,1
braucht,18
attraktive,2
Arbeitsbedingungen,4
Fortbildung,1
transparente,6
anspruchsvolle,1
Aufstiegsmöglichkeiten,1
immaterielle,1
Wertschätzung,3
Bezahlung,3
Engagement,9
belohnt,2
Lehrerausbildung,3
dualen,1
Lehramtsstudium,1
Theorie,2
Praxisphasen,1
Beginn,2
eng,4
miteinander,7
verzahnt,1
Lehrkräftemangel,1
allgegenwärtig,1
Beruf,10
begeistern,1
Exzellente,1
Lehreraus,1
fortbildung,1
Mindeststandards,1
fachwissenschaftlicher,1
pädagogischer,1
Digitalkompetenzen,1
Künstlichen,1
Intelligenz,6
Lernprozesse,2
Lern,1
Lehrmethoden,1
Bestandteile,2
Lehrkräfteakademie,1
entwickelt,2
anbietet,1
neuesten,2
wissenschaftlichen,4
Erkenntnissen,1
basieren,2
Teilnahme,2
Lehrerinnen,2
Lehrer,2
verpflichtend,1
Digitalpakt,4
verfassungsrechtlichen,2
nutzt,1
IT,12
Administratorinnen,1
Administratoren,1
Dienstgeräte,1
digitales,3
Lernmaterial,1
finanziellen,5
WLAN,1
Hardware,1
Notfall,1
Hause,1
allgemeinbildenden,1
sonderpädagogischen,1
ganzheitlich,1
gedacht,3
Nutzung,14
digital,4
gestütztes,1
Präsenz,1
Distanz,1
Learning,4
Analytics,3
Moderne,4
Lernmethoden,1
klarer,2
Künstliche,2
Möglichkeit,18
Individualisierung,1
Lernens,1
Lehrens,1
Auswertung,1
Lernende,2
Lernumgebung,1
Wahrung,1
Datenschutzes,1
geschehen,1
Midlife,3
BAföG,8
persönlichen,2
Freiraumkonto,1
abgabenfreie,1
Ansparen,1
Weiterbildungsangebote,1
Bildungsauszeiten,1
Vielzahl,3
Bildungsangeboten,1
lebenslange,2
Anbieterinnen,4
Anbietern,3
strukturiert,2
zentralen,6
Plattform,4
einsehbar,2
Bildungsarena,1
Weiterbildungen,3
erleichtern,15
gleichzeitig,6
Anerkennung,5
informell,1
non,1
formal,1
erworbener,2
Akademische,1
Weiterbildung,8
akademische,2
Lehrangebote,2
jenseits,2
Erstausbildung,1
öffnen,8
Aufgrund,1
rechtlicher,1
finanzieller,1
Hürden,4
beschränken,4
Weiterbildungsengagement,1
zumeist,1
ausgewählte,1
Ausgründungen,1
Schools,1
Regelfall,1
jüngere,1
Altersgruppen,3
privater,8
rechtlichen,7
Formel,1
Bildungs,2
Sozial,1
Wirtschaftspolitik,3
konkreter,1
Vorschlag,1
lautet,1
Steuerfreibetrag,1
Pauschbetrag,1
neugeborene,1
steigender,2
Startbonus,1
Aktienrente,4
BERUFLICHE,1
duale,1
Erfolgsfaktor,1
Wirtschaftsstandort,1
Verbindung,3
Betrieb,5
Berufsschule,1
jungen,1
vielfältige,3
Arbeitswelt,6
trägt,4
Fachkräftesicherung,1
Berufen,1
erfolgreiches,2
berufliches,1
berufliche,6
Exzellenzinitiative,2
Berufliche,2
Update,4
bundesweiter,1
Exzellenzwettbewerb,1
hochrangigen,1
Auszeichnungen,1
mehrjährigen,1
Zuschüssen,2
Zentrum,1
Berufsbildung,1
berufsbildende,1
ausbildende,1
Konzeption,1
Umsetzung,5
Ausbildungsangebote,3
offene,4
Werkstätten,1
FabLabs,1
erweitern,4
Begabtenförderung,1
Talente,2
Talenten,1
gleichwertigen,1
Begabtenförderungswerken,1
Deutschlandstipendium,1
Öffnung,3
ideellen,2
Stipendiatinnen,1
Stipendiaten,1
künftig,17
Seminar,1
Schulungsangeboten,1
Gleichwertigkeit,1
akademischer,3
beruflicher,2
Flexibilität,7
artverwandte,1
Berufe,5
Maßgabe,2
Sozialpartner,1
Berufsfelder,1
zusammenfassen,3
Ausbildungsphase,1
erworben,2
Berufsübergreifende,1
Mobilität,14
Selbstbestimmung,20
spezialisierte,2
vernachlässigen,1
dauerhafte,1
Beschäftigungsfähigkeit,1
Berufsprinzip,1
berufsspezifischen,1
Internationaler,1
Austausch,8
Auszubildenden,2
Auslandserfahrung,1
globalisierten,1
sprachliche,1
interkulturelle,2
Analog,1
Akademischen,1
Austauschdienst,2
DAAD,1
Beruflichen,1
Auszubildende,3
Berufsschulen,1
Auslandsaufenthalten,1
Programme,3
Erasmus,7
AusbildungWeltweit,1
Internationale,2
Zusatzqualifikationen,1
Fortbildungsordnungen,1
verankert,3
Kopenhagener,2
Erklärung,2
vereinbarten,3
Ziele,8
Qualifikationen,2
konsequent,11
umgesetzt,9
Azubi,2
Botschafter,1
Aufstiegs,2
praxisnahe,2
Berufsorientierung,1
Botschaftern,1
Gymnasien,1
Berufsorientierungsangebote,1
Praktika,2
enger,3
Schulformen,2
Flächendeckend,1
Jugendberufsagenturen,1
Teilzeitfortbildungen,1
interdisziplinäre,1
Bildungswege,1
Hybride,1
Angebote,9
Durchlässigkeit,2
öffentliche,8
Dienst,6
Karrierewege,1
gleichberechtigt,2
anerkennen,6
Einstieg,2
Zukunftsgarantie,3
Ausbildungsplatz,1
kleinteilige,2
Übergangssystem,1
bundesweites,1
regionaler,2
Ausgestaltung,5
fokussieren,1
regelmäßig,4
evaluieren,1
Erstens,1
Einstiegsqualifizierung,1
Teilnehmenden,1
sozialpädagogisch,1
geschulte,1
Lernprozessbegleiterinnen,1
begleiter,1
Seite,7
Zweitens,1
außerbetriebliche,1
erheblichen,2
Unterversorgung,1
Ausbildungsplätzen,1
bedarfsgerecht,1
Abstimmung,1
Sozialpartnern,1
wobei,1
Übergang,1
betriebliche,3
stets,4
vorrangiges,1
Drittens,1
sicherstellen,6
gewährleistet,11
durchlässiger,1
Teilqualifizierungen,1
Ausbildungsdauer,1
flexibilisieren,5
Teilzeitausbildungen,1
HOCHSCHULE,1
FORSCHUNG,1
beste,4
Forschungsbedingungen,1
globaler,1
Klimawandel,7
klimafreundlicher,1
Kraftstoffe,12
Schutz,29
Gesundheit,7
Impfstoffe,1
Forschungspolitik,1
sieht,2
Gefahren,2
verantwortungsvoll,3
umgeht,1
European,4
University,2
EDU,4
Lehrformaten,1
Dachorganisation,2
ortsunabhängigen,1
Lehrangeboten,1
verbleibenden,1
Grenzen,9
Bildungsmobilität,1
Lebenssituation,1
geographischen,2
Lage,6
Lehre,4
einzigartige,1
Lehrende,2
beteiligten,2
staatlichen,11
Elternunabhängiges,1
Baukasten,2
elternunabhängiges,1
freie,10
Studiums,1
abhängen,1
Studierende,2
analog,3
bisherigen,4
Kindergeld,1
Kinderfreibetrag,1
monatlichen,1
200,3
ehrenamtlichem,1
Nebentätigkeiten,1
monatlich,1
anpassbares,1
zinsfreies,1
gutem,1
rückzahlbares,1
Darlehen,2
Förderhöchstdauer,1
Regelstudienzeit,1
Semester,1
umfassen,1
Studienfachwechsel,1
Einfluss,4
Gesamtförderdauer,1
Höchstaltersgrenzen,1
aufgehoben,2
Zuverdienstgrenzen,2
angehoben,1
Beantragung,2
digitalisieren,4
Qualitätsoffensive,2
Hochschullehre,3
Mittelzuweisungen,1
Bundes,7
qualitätsorientierter,1
erfolgen,9
didaktischen,1
technischen,2
datenschutz,1
urheberrechtlichen,1
starre,2
Kapazitätsrecht,1
Zahl,3
bereitgestellten,1
Studienplätze,2
regelt,3
grundlegend,2
Betreuungsquoten,1
berufs,1
lebensbegleitende,1
Studienmodule,1
Förderprogramme,2
Verbesserung,8
Forschungsfinanzierung,1
offenstehen,2
Ausweitung,7
Erfolgsprogramms,1
Erfolgsprogramm,1
Verständigung,1
Populismus,2
nationale,3
Engstirnigkeit,1
Großbritannien,3
Schweiz,1
Beitrittskandidaten,1
Östlichen,1
Nachbarschaftspolitik,1
Programmlands,1
Schulzeit,1
Ausland,7
absolvieren,1
gegenseitige,1
Zeugnissen,1
Abschlüssen,1
Wissenschaftsfreiheit,1
verteidigen,4
lebt,4
offenen,2
Debattenkultur,2
Gesetzliche,2
Ausgrenzen,1
Meinungen,3
Cancel,1
Culture,1
widerspricht,2
Verfassungsgrundsatz,1
Innerhalb,2
Grundgesetzes,2
erträgliche,1
geäußert,1
wissenschaftseigene,1
Mechanismen,3
ethischen,1
Selbstkontrolle,1
Einflussnahme,3
chinesischen,3
Regierung,3
Konfuzius,1
Institute,2
aufgearbeitet,1
Co,1
Finanzierungen,1
beendet,5
Gemeinsam,6
Wissenschaftseinrichtungen,1
Cybersicherheit,7
Diversität,3
Perspektivwechsel,1
leider,1
außeruniversitären,1
Forschungsorganisationen,1
Ausgleichsabgabe,1
anstatt,1
Behinderungen,8
besetzen,1
Leider,2
Führungspositionen,4
Fächern,1
gering,1
Wissenschaftskarrieren,1
Vereinbarkeit,4
Familie,9
zentrales,3
Anliegen,1
Kinderbetreuung,2
Väter,1
Mütter,1
Lehrverpflichtungen,1
Forschungszeiten,1
selbstbestimmter,1
festzulegen,1
Untersuchung,1
Situation,1
Massachusetts,1
Institut,4
Technologie,5
1990er,1
Grundlagenforschung,2
angewandten,1
Diversifikation,1
Innovationsstruktur,1
breit,1
Grundlagenforschungsinitiative,1
starten,2
Spitzentechnologie,1
Reformen,6
modernes,6
Kür,1
ändert,1
Gesundheitswesens,2
rettet,1
wahrsten,1
Sinne,7
Wortes,1
Sicherheitsapparates,1
Rechtsstaats,2
Arbeitsmarktes,1
Beschäftigten,7
Rüstzeug,1
erfolgreiche,1
Veränderungsprozesse,1
Einzelne,3
festigt,1
Beteiligungsmöglichkeiten,1
Staatswesens,1
Lust,1
demokratischen,10
Prozesse,3
UNKOMPLIZIERTER,1
STAAT,1
Sämtliche,1
Bürgerservices,1
online,2
erledigen,1
Amt,1
Schlange,1
Zukunftsutopie,1
unkomplizierten,1
erleichtert,3
frei,11
bürgernahe,1
Weitreichende,1
Föderalismus,2
Verwaltungsreform,2
unklare,1
Zuständigkeiten,5
erdrückende,1
Defizite,2
pragmatische,1
Prozessen,2
Mentalitätswandel,1
Megaprojekt,1
Verwaltungsmodernisierung,1
agile,2
Herangehensweise,1
arbeitsfähige,1
Ergebnisse,2
starren,2
Strategien,2
priorisiert,1
Transformation,6
Arbeitsweisen,1
erreichte,1
Einsparungen,1
Digitale,6
Dividende,1
jeweiligen,6
Stelle,7
verbleiben,2
Sicherheitsfragen,1
Systeme,5
zeitgemäß,1
Kompetenzverteilung,1
Ebenen,2
regeln,2
Dienstrecht,1
konzentrieren,4
Wettbewerbs,1
Vorsorge,4
funktionierende,3
Wirtschaftshilfen,2
treffen,4
Fälle,2
gerüstet,1
außergewöhnlichen,1
Verhältnissen,1
gesamten,8
Verluste,1
aktuellen,6
Vorjahre,1
verrechnet,1
Angestellte,2
ausreichenden,1
Unternehmerlohn,1
Stop,4
Shops,2
weitergegeben,1
entsprechender,2
verarbeitet,2
Funktionsfähigkeit,1
Systems,2
lassen,11
beschleunigen,10
Shop,2
Vernetzung,7
Akteuren,2
Zahlungsmoral,2
Vergabeschwellenwerte,1
2020,6
2021,1
schneller,10
wichtigen,8
Stabilisierungseffekt,1
Offene,2
Rechnungen,1
gefährden,3
Vorfälligkeit,2
Beiträge,5
rückgängig,2
Abführung,1
Sozialversicherungsbeiträgen,1
bürokratischer,2
Mehrbelastung,1
entzieht,1
Anstelle,1
24,1
Monatsabrechnungen,1
Abrechnungen,1
tätigen,1
Schätzen,1
verzichten,3
erheblichem,1
bürokratischem,1
Aufwand,2
INNOVATION,2
NATION,1
Buchdruck,1
Auto,1
Computer,1
Alltag,3
einfacher,4
Rennen,1
aufzuholen,1
Zukunftsfeldern,1
Biotechnologie,1
Spitzenposition,1
einzunehmen,1
neues,4
Denken,2
gerichtet,1
quo,1
verharrt,1
Innovationsprinzip,2
Entscheidungen,7
ergänzend,1
Vorsorgeprinzip,1
Folgenabschätzung,1
mögliche,3
Maßnahme,1
geschaut,1
Genauso,1
intensiv,1
ermittelt,2
Unterlassung,1
Deutsche,3
Transfergemeinschaft,2
DTG,2
agieren,3
Selbstverwaltungseinrichtung,1
technologische,3
Förderfähig,1
einerseits,4
Projekte,5
Beteiligung,6
andererseits,4
Unternehmens,1
Zivilgesellschaft,5
Transfer,1
Know,2
how,2
bündelt,1
kostenneutral,1
bislang,5
mehrere,2
Ministerien,1
verteilte,1
Transferfördergelder,1
finanziert,4
Software,4
Hightech,3
Leistungs,1
Zielerreichung,4
binden,3
Innovationsstrategie,2
Mittelfreigabe,1
Bundesprogramme,1
Aufwuchses,1
Bundesmitteln,1
rückwirkend,1
Nachweis,1
erbracht,1
werdenden,1
wettbewerblichen,1
Verfahren,12
erfolgreicher,1
KI,6
FONA,1
fehlen,1
Zielhierarchien,1
Erfolgsindikatoren,1
Fortschritte,4
messen,1
Einzelstrategien,1
Freiheitszonen,3
innovativer,1
Entstehung,1
Clustern,1
Schlüsseltechnologien,2
Blockchain,2
bestimmte,4
ausweisen,1
Regularien,1
Forschungsförderung,3
Finanzierungsmöglichkeiten,1
Bioökonomie,3
zusammenbringen,1
Antworten,1
natürlicher,1
Lebensgrundlagen,1
Welternährung,2
Endlichkeit,1
fossiler,1
Rohstoffe,1
biologischer,3
Ressourcen,5
Klebstoff,1
Pflanzen,1
Smartphone,1
Displays,1
Zucker,1
Shirts,1
Kaffeesatz,1
effizienteren,1
voranbringen,7
Ökologie,2
Ökonomie,2
Recyclingmethoden,1
Produktverbote,1
technologieoffenes,1
Recycling,2
Abfälle,1
Rohstoffen,1
weite,3
Kreislaufwirtschaft,1
aufzubauen,4
chemische,1
Recyclings,1
Verpackungen,2
zulassen,3
somit,3
Diskriminierung,6
vielversprechenden,1
Ressourcenschonung,1
bedeutet,3
Verzicht,1
Wiederverwertungstechnologien,1
Kunststoff,2
Werkstoff,1
ökologischen,3
Bewertung,2
Produkten,4
alternativen,2
Materialien,1
Glas,1
Ökobilanzen,2
Kunststoffe,1
vielfältig,1
einsetzbar,1
günstig,1
geringes,1
CO2,29
eingespart,2
Umweltwirkung,2
wissenschaftsbasierte,1
Regulierungen,2
Raumfahrt,2
Weltraumgesetz,2
wegweisendes,1
Vergaben,1
flexibler,3
realisiert,1
Satellitendaten,1
vernetzte,1
Dienste,3
Zukunftsprojekte,1
bahnbrechender,1
New,3
Space,4
einbinden,1
Vorhaben,1
Ankerkunden,1
Ausschreibungen,1
passend,1
privatwirtschaftliche,1
ungehindert,1
vielerlei,1
fehlt,1
verlässlichen,2
Rechtsrahmen,6
Rückendeckung,1
Startplattform,1
Trägerraketen,2
Weltraumbahnhof,1
Zukunftsprojekt,1
zahlreichen,2
erfolgsversprechenden,1
Satelliten,1
flexibel,4
All,2
Umwelt,6
Institutionen,6
Forschungseinrichtungen,1
befördern,1
Startkontingente,1
erwerben,2
Services,1
beauftragen,1
MOBILITÄT,1
bezahlbare,2
angewiesen,5
zukunftsweisende,1
Verkehrspolitik,2
Scheuklappen,1
technologischen,2
funktionierenden,2
Emissionshandel,7
technologieoffenen,1
sichere,5
saubere,1
unverhältnismäßige,1
Vernunft,1
Tempolimits,1
Diesel,1
Motorradfahrverbote,1
weder,4
progressiv,1
geforderte,2
Emissionshandels,2
umwelt,1
klimafreundliche,2
Motoren,1
alternative,4
durchsetzen,4
emissionsstarken,1
günstiger,2
pauschales,2
Verbot,5
Verbrennungsmotoren,2
Verkehrssicherheit,1
umweltfreundlichen,2
Verkehrsfluss,1
Einschränkungen,3
Individualverkehrs,1
Lösung,4
Intelligente,2
Verkehrslenkung,1
hingegen,3
enorme,3
Bahnverkehr,2
privatisieren,2
Schiene,5
Bahnbetrieb,1
trennen,2
Netz,5
Personen,11
transportieren,1
gelingt,3
Staatsbahn,1
niedrigeren,2
Trassenpreisen,1
Schienenwege,1
organisatorische,1
Trennung,3
voll,2
Bahnunternehmen,1
wiederum,1
Kundinnen,2
Kunden,2
besserem,1
Angebot,4
umsetzen,5
bekommt,2
Straße,1
Radweg,1
Aufwuchs,1
Investitionsmittel,1
verlässlich,1
fortgesetzt,1
verbaut,1
Sanierung,1
Priorität,3
Hohe,3
Anforderungen,3
Mobilitätspolitik,1
entwickelnde,1
erfordern,3
hohes,1
Maß,3
Planungsverfahren,1
straffen,1
Doppeluntersuchungen,1
Bereichen,6
Planungs,2
Genehmigungsbehörden,2
Fachkräften,1
ausstatten,3
Bürgerbeteiligung,3
Faire,3
Luftverkehr,2
Luftverkehrssteuer,1
Luftsicherheitsgebühren,1
ordnen,1
Nachtflugverboten,1
einheitlichen,7
Luftraum,1
widerstandsfähiges,1
effizientes,1
Flugverkehrsmanagement,1
Hoheitliche,1
Aufgaben,5
Drohnenabwehr,1
getragen,2
wettbewerbsfähigen,1
nachhaltigen,5
Seehäfen,1
Binnenwasserstraßen,1
Häfen,3
Schifffahrt,3
maritime,2
aktiv,4
zukunftsfest,1
heben,3
See,2
Binnenhäfen,2
gemessen,1
zurückgelegten,1
Strecke,1
transportierten,1
Menge,1
umweltschonendste,1
Verkehrsträger,2
Güterverkehr,1
Staates,6
Resilienz,1
beiträgt,2
streben,5
Rotterdam,1
Piräus,1
Ertüchtigung,1
Wasserstraßen,1
Verzahnung,3
Binnen,1
Küstenwasserstraßennetzes,1
Hinterlandanbindungen,1
bedarf,2
zukünftig,5
Wassertiefeninstandhaltung,1
besseren,3
Logistik,1
Energieversorgung,6
entscheidende,1
Weichen,1
Insgesamt,2
Aufmerksamkeit,1
Seeschifffahrt,1
enormer,1
strategischer,3
sichert,3
Technologieoffenheit,2
Fahrzeugbau,3
technologieoffene,1
Gesetze,6
Verordnungen,2
Einseitige,1
Vorgaben,3
festgelegten,1
Flottengrenzwerte,1
Prüfstand,2
ganzheitliche,2
Betrachtung,1
Fahrzeuge,1
vornehmen,1
Mobilitätskonzepte,1
erkunden,1
Antriebstechnologien,1
bevorzugen,1
Entwicklergeist,1
Firmen,1
Ingenieurinnen,2
Ingenieuren,2
zurückgeben,1
bestmöglichen,1
Antriebe,1
Anwendungen,6
vertreiben,1
Wasserstoff,8
Batterie,1
Kraftstoffen,1
optimal,1
teure,2
streichen,4
flächendeckenden,1
Schnellladesäulen,1
interoperablen,1
Bezahlstrukturen,1
diskriminierungsfreien,1
Ladestromanbieter,1
Ladesäulen,1
Gebühr,1
Preis,6
Abrechnungssysteme,1
Kaufprämie,1
Autos,2
Hybridfahrzeuge,1
überarbeitet,1
sodass,7
reale,1
Emissionen,3
berücksichtigt,6
wesentlicher,1
Bestandteil,2
Verkehrsmix,1
Verkehrssektor,2
ausweiten,6
Reduktion,2
Verkehr,5
beschlossenen,2
Senkung,1
Ausstoßes,1
lediglich,1
steigenden,2
Marktverzerrung,1
Deckelung,1
Gesamtausstoßes,1
Klimagasen,1
Taxigewerbe,1
Mobilitätsdienste,1
Personenbeförderung,1
Mobilitätsdienstleister,1
besondere,5
ÖPNV,2
beständig,1
Blick,5
Rückkehrpflicht,1
Mietwagen,1
Mindestabstand,1
Kilometern,1
Haltestellen,1
Fernbusse,1
abgeschafft,2
Made,1
Germany,1
Zulassungs,1
Testverfahren,1
Innovationsförderung,1
Sprunginnovationen,1
autonome,2
Fahren,7
Hochgeschwindigkeitssystem,1
Hyperloop,1
Drohnen,2
Flugtaxis,1
Insbesondere,7
schnellere,1
kostengünstigere,1
Versorgung,14
Zukunftsthema,1
autonomes,2
eigentlichen,1
Verkehrsteilnehmerinnen,1
teilnehmer,1
regulatorische,3
Schaffen,1
positiver,2
Wachstumsfaktoren,1
umfasst,3
Definition,3
einheitlicher,2
Schwerpunkt,3
innovationsfreundlicher,1
rechtssicherer,1
Transportnetze,2
Infrastrukturstrategie,1
transeuropäischer,1
ausgebautes,1
Hochgeschwindigkeits,1
Schienennetz,1
leistungsstarke,1
Hafenanlagen,1
Flugplätze,1
Fernstraßen,1
engere,2
Verknüpfung,1
Metropolen,1
Warenumschlagplätze,1
Radverkehr,1
Fahrrad,1
Fortbewegung,1
Verkehrsplanung,1
Bedürfnisse,2
Radverkehrs,1
Radwege,1
Radfahrstreifen,1
Konflikte,2
motorisierten,1
europaweite,4
Regelung,7
beschleunigten,1
Abbiegeassistenten,1
Lastkraftwagen,1
Begleitetes,1
Mindestalter,1
Erwerb,4
Pkw,1
Führerscheins,1
begleitetes,1
Höchstgeschwindigkeit,1
Kleinkrafträdern,1
45,1
55,2
km,1
Modifizierung,1
Fahrzeugklassifizierung,1
Barrierefreiheit,2
barrierefreie,1
Bewegungsfreiheit,1
Familien,8
ältere,3
erfährt,2
zeitweise,1
DIGITALISIERUNG,1
prägen,1
Digitalpolitik,1
ausrichten,2
unkoordiniert,1
ziellos,1
chaotisch,1
Tempo,2
verspielen,1
Ministerium,3
Synergieeffekte,1
effizientere,1
bündeln,2
Regierungsressorts,1
verknüpfen,1
effizient,3
konsistent,1
Flächendeckende,1
hochleistungsfähige,2
Mobilfunkabdeckung,2
flächendeckende,4
Mobilfunkmarkt,1
Glasfasernetz,1
konsequente,4
Hochrüstung,1
bestehender,4
Mobilfunktionsnetze,1
5G,2
Netzen,2
abzuschließen,1
effizienten,2
Auktionsdesign,1
zeitnahen,1
Controlling,1
Ausbauziele,1
hochleistungsfähiger,1
Mobilfunk,1
Grundvoraussetzung,2
Schneller,1
Netzzugang,1
Gigabit,4
Gutscheine,2
Privathaushalte,1
Gutscheinen,1
erstattet,1
Umstellung,1
Hochgeschwindigkeitsnetzen,1
nachfrageorientiert,1
kosteneffizient,1
Anreiz,3
Netzausbau,1
Dienstleister,1
Virtuelle,1
Verwaltungen,1
Once,1
Only,1
Behörde,4
einzeln,2
mitteilen,1
notwendigen,3
Amtsgänge,1
virtuell,1
barrierefrei,2
medienbruchfreien,1
durchführbar,1
Planungen,1
Bürgerkonten,1
Cockpits,1
zusammenführen,2
Deutschlandportal,2
Einblick,2
betreffenden,1
personenbezogenen,2
gespeichert,2
Zugriffe,1
externen,1
Kontroll,2
Server,1
geloggt,1
behördenseitige,1
Zugriff,1
löst,1
automatisch,2
Benachrichtigung,2
laufenden,1
Verfahrens,1
Verfahrensabschluss,1
Nachfrage,2
Grund,1
Datenzugriff,1
erfahren,1
nächste,1
einsteigen,1
künstlicher,1
Virtual,2
Reality,2
Augmented,1
Nachzügler,1
Government,2
Open,2
Source,2
Abhängigkeit,3
proprietärer,1
verringern,3
Digitaler,2
europaweit,3
skalierbar,1
Regulierungsbedingte,1
Barrieren,1
abbauen,6
Vertragsfreiheit,1
infrage,1
verfallen,1
grundlegende,1
Werte,9
zunehmend,3
digitalisierten,1
datengetriebenen,1
Achillesferse,1
Informationszeitalters,1
tatsächlich,1
umsetzbare,1
Cybersicherheitsstrategie,2
wirksames,1
Schwachstellenmanagement,2
Verschlüsselung,6
ebenfalls,3
Vorgabe,1
security,1
by,2
design,2
inklusive,1
Haftung,3
Herstellerinnen,3
Hersteller,3
Schäden,2
fahrlässig,1
Sicherheitslücken,5
Verpflichtung,3
üblichen,1
Nutzungsdauer,1
Produkts,1
Updates,1
Effiziente,1
Verteidigungssysteme,1
Vorrang,2
umfangreichen,1
Einflussmöglichkeiten,1
autoritärer,1
unterliegen,4
kritischer,1
beteiligt,1
Vergeltungsschläge,1
Hackbacks,1
Wettrüstens,1
Täterinnen,1
Täter,3
zivile,1
Opfer,3
strategisches,1
Sicherheitsziel,1
Bundesrepublik,5
entsprechenden,2
Strukturen,5
Bundesamt,2
Informationstechnik,2
aufzurüsten,1
Roadmap,2
künstliche,3
konkrete,2
Anwendungsfälle,1
fachlichen,2
Zuständigkeit,2
identifizieren,1
Fördermitteln,1
praktisch,3
getestet,1
Erprobungszonen,1
sogenannte,6
regulatory,1
sandboxes,1
gesetzliche,6
Deregulierung,1
neuer,3
maschinelles,1
Robotik,2
auszuschöpfen,1
Netzneutralität,2
fairer,1
bekennen,8
Datenpakete,1
sichergestellt,5
Meinung,1
diskriminiert,1
Unternehmungen,1
Marktzugang,3
Chancengleichheit,1
qualitätsgesicherte,1
Spezialdienste,1
Network,1
Slicing,1
zeitkritische,1
medizinische,2
Teleoperationen,1
diskriminierungsfreie,1
wettbewerbsrechtlich,1
abzusichern,1
Nachhaltige,4
Rechenzentren,5
Basisinfrastruktur,1
beginnen,3
aktuell,3
Softwares,1
energieeffizientere,1
Architekturen,1
vieles,2
nachhaltigeren,1
erzielt,1
gezielten,1
energie,1
ressourcensparende,1
Informations,1
Kommunikationstechnik,1
Abwärmenutzung,1
Klimaneutralität,4
näher,1
MODERNE,1
ARBEITSWELT,1
stammen,1
Disketten,1
abgespeichert,1
Telefonate,1
Wählscheibentelefon,1
geführt,5
gleiche,5
Leistung,5
Geschlecht,2
Alter,11
ethnischer,4
sexueller,5
Flexible,1
Arbeitszeiten,1
Arbeitszeitgesetz,1
wöchentliche,1
täglichen,1
Höchstarbeitszeit,1
Pausen,1
Einteilung,1
Arbeitszeit,1
Summe,1
täglich,1
Ruhezeit,1
bestehen,3
Hierbei,3
flexible,2
Tarifvertrag,1
Betriebsvereinbarung,1
rechtssicher,2
mobiler,2
Arbeitsschutzgesetz,1
Arbeitsstättenverordnung,1
Lichteinfall,1
Ähnliches,1
verantwortlich,2
Mobiles,1
Rechtsanspruch,4
Erörterung,1
mobiles,3
niederländischem,1
Antrag,2
prüfen,3
erörtern,1
Tätigkeit,2
außerhalb,3
festen,2
Arbeitsplatzes,1
