Term,Frequency,Source
täter,3,FDP
zivile,1,FDP
opfer,3,FDP
strategisches,1,FDP
sicherheitsziel,1,FDP
bundesrepublik,5,FDP
entsprechenden,2,FDP
strukturen,5,FDP
bundesamt,2,FDP
informationstechnik,2,FDP
aufzurüsten,1,FDP
roadmap,2,FDP
konkrete,2,FDP
anwendungsfälle,1,FDP
fachlichen,2,FDP
zuständigkeit,2,FDP
identifizieren,1,FDP
fördermitteln,1,FDP
praktisch,3,FDP
getestet,1,FDP
erprobungszonen,1,FDP
sogenannte,6,FDP
regulatory,1,FDP
sandboxes,1,FDP
deregulierung,1,FDP
neuer,4,FDP
maschinelles,1,FDP
robotik,2,FDP
auszuschöpfen,1,FDP
netzneutralität,2,FDP
fairer,1,FDP
bekennen,8,FDP
datenpakete,1,FDP
sichergestellt,5,FDP
meinung,1,FDP
diskriminiert,1,FDP
unternehmungen,1,FDP
marktzugang,3,FDP
chancengleichheit,1,FDP
qualitätsgesicherte,1,FDP
spezialdienste,1,FDP
network,1,FDP
slicing,1,FDP
zeitkritische,1,FDP
medizinische,3,FDP
teleoperationen,1,FDP
diskriminierungsfreie,1,FDP
wettbewerbsrechtlich,1,FDP
abzusichern,1,FDP
rechenzentren,5,FDP
basisinfrastruktur,1,FDP
beginnen,3,FDP
softwares,1,FDP
energieeffizientere,1,FDP
architekturen,1,FDP
vieles,2,FDP
nachhaltigeren,1,FDP
erzielt,1,FDP
gezielten,1,FDP
ressourcensparende,1,FDP
informations,1,FDP
kommunikationstechnik,1,FDP
abwärmenutzung,1,FDP
klimaneutralität,4,FDP
näher,1,FDP
stammen,1,FDP
disketten,1,FDP
abgespeichert,1,FDP
telefonate,1,FDP
wählscheibentelefon,1,FDP
geführt,5,FDP
gleiche,6,FDP
leistung,5,FDP
geschlecht,2,FDP
alter,11,FDP
ethnischer,4,FDP
sexueller,5,FDP
flexible,3,FDP
arbeitszeiten,1,FDP
arbeitszeitgesetz,1,FDP
wöchentliche,1,FDP
täglichen,1,FDP
höchstarbeitszeit,1,FDP
pausen,1,FDP
einteilung,1,FDP
arbeitszeit,1,FDP
summe,1,FDP
täglich,1,FDP
ruhezeit,1,FDP
bestehen,3,FDP
tarifvertrag,1,FDP
betriebsvereinbarung,1,FDP
rechtssicher,2,FDP
mobiler,2,FDP
arbeitsschutzgesetz,1,FDP
arbeitsstättenverordnung,1,FDP
lichteinfall,1,FDP
ähnliches,1,FDP
verantwortlich,2,FDP
mobiles,4,FDP
rechtsanspruch,4,FDP
erörterung,1,FDP
niederländischem,1,FDP
antrag,2,FDP
prüfen,3,FDP
erörtern,1,FDP
tätigkeit,2,FDP
außerhalb,3,FDP
festen,2,FDP
arbeitsplatzes,1,FDP
ausgeführt,2,FDP
belange,3,FDP
vereinbarung,2,FDP
mobilen,1,FDP
sprechen,3,FDP
bestehende,4,FDP
vereinbarungen,1,FDP
anlassbezogen,1,FDP
widerrufen,1,FDP
erörterungsanspruch,1,FDP
fördert,6,FDP
kulturwandel,2,FDP
akzeptanz,6,FDP
betriebskindergärten,1,FDP
mutterschutzes,1,FDP
garantieren,6,FDP
betreuungszeiten,1,FDP
absetzbarkeit,2,FDP
betreuungskosten,2,FDP
vorständen,2,FDP
führungskräften,1,FDP
zeitlich,3,FDP
begrenzte,2,FDP
auszeit,2,FDP
geburt,5,FDP
elternzeit,2,FDP
pflege,15,FDP
angehöriger,2,FDP
schwerer,2,FDP
erkrankung,2,FDP
mandat,2,FDP
begrenzten,2,FDP
zeitraum,2,FDP
ruhen,2,FDP
niederzulegen,2,FDP
familienfreundliche,1,FDP
steigern,3,FDP
karrierechancen,2,FDP
gleiches,2,FDP
positionen,1,FDP
arbeitsmodelle,1,FDP
geteilte,1,FDP
führung,6,FDP
jobsharing,1,FDP
topsharing,1,FDP
arbeitgeberinnen,1,FDP
vergegenwärtigen,1,FDP
funktionen,3,FDP
weibliche,1,FDP
männliche,1,FDP
berücksichtigen,3,FDP
transparenz,8,FDP
talentmanagement,1,FDP
gleichstellungsberichten,1,FDP
erhöht,6,FDP
druck,2,FDP
starrer,2,FDP
quoten,3,FDP
selbstverpflichtungen,1,FDP
unternehmensebene,1,FDP
widerspiegelt,1,FDP
vorstandsebene,1,FDP
frauenanteils,1,FDP
partnerschutz,3,FDP
mutterschutz,3,FDP
partnerschutzes,2,FDP
kindes,2,FDP
elternteil,1,FDP
arbeitstage,1,FDP
halbtägig,1,FDP
beansprucht,1,FDP
besteht,5,FDP
doppelte,1,FDP
zeitdauer,1,FDP
äquivalent,1,FDP
alleinerziehende,5,FDP
person,4,FDP
benennen,3,FDP
familienangehörige,1,FDP
alleinerziehenden,1,FDP
erhöhten,1,FDP
regenerationsbedarf,1,FDP
müttern,1,FDP
rechnung,4,FDP
anfang,1,FDP
familienbedingte,1,FDP
auszeiten,1,FDP
oberste,2,FDP
führungskräfte,2,FDP
mitglieder,5,FDP
aufsichtsräten,1,FDP
begründeten,1,FDP
ersetzt,2,FDP
bisherige,1,FDP
vollen,3,FDP
abwesenheit,1,FDP
zwang,1,FDP
mandatsniederlegung,1,FDP
gerechtigkeit,2,FDP
männern,2,FDP
500,2,FDP
unternehmensinternen,1,FDP
gender,1,FDP
pay,1,FDP
gap,1,FDP
auswerten,1,FDP
veröffentlichen,1,FDP
durchschnittliche,1,FDP
verdienstunterschied,1,FDP
prozentuale,1,FDP
gehaltsgruppen,1,FDP
angegeben,1,FDP
grundstein,1,FDP
eigenverantwortliche,2,FDP
problems,1,FDP
beschäftigte,3,FDP
diversity,3,FDP
management,6,FDP
ganzheitliches,3,FDP
ökonomischen,2,FDP
sinnvolle,2,FDP
konzepten,1,FDP
gleichstellungs,1,FDP
behindertenbeauftragten,1,FDP
arbeitsvermittlung,2,FDP
vorbereitung,1,FDP
praxistauglichere,1,FDP
budgets,2,FDP
begleitung,1,FDP
werkstatt,1,FDP
bilden,3,FDP
berücksichtigtes,1,FDP
reguläre,1,FDP
beschäftigung,6,FDP
kreativwirtschaft,6,FDP
dienstleistungsbranche,1,FDP
erwerbstätigen,2,FDP
klasse,2,FDP
reformansätzen,1,FDP
selbstständigkeit,4,FDP
nehmen,9,FDP
ungleichbehandlungen,1,FDP
krankenversicherung,5,FDP
statusfeststellung,1,FDP
statusfeststellungsverfahrens,1,FDP
statusfeststellungsverfahren,1,FDP
zweifelsfrei,1,FDP
klären,1,FDP
abhängige,1,FDP
vorliegt,2,FDP
positivkriterien,1,FDP
bestimmter,2,FDP
verbindlich,2,FDP
festgestellt,1,FDP
prüfung,5,FDP
unabhängige,2,FDP
rentenversicherung,5,FDP
vorgenommen,2,FDP
maximale,1,FDP
wählbar,1,FDP
geförderten,2,FDP
zickzack,1,FDP
lebensläufen,2,FDP
wechsel,3,FDP
direktversicherung,1,FDP
riester,4,FDP
verlieren,1,FDP
gründungsphase,1,FDP
karenzfristen,1,FDP
pflicht,2,FDP
angemessen,3,FDP
obligatorisches,1,FDP
alterssicherungssystem,1,FDP
pflichtversichert,1,FDP
mini,3,FDP
midijob,2,FDP
mindestlohn,2,FDP
koppeln,2,FDP
minijob,1,FDP
dynamisch,1,FDP
mindestlohns,1,FDP
reduzieren,6,FDP
stunden,1,FDP
midijobs,1,FDP
midijobber,1,FDP
erhöhungen,1,FDP
allgemeine,1,FDP
lohnentwicklung,1,FDP
abgeschnitten,1,FDP
leistungsgerechtigkeit,1,FDP
tarifautonomie,1,FDP
arbeitnehmerüberlassung,1,FDP
zeitarbeit,4,FDP
sozialversicherungspflichtige,1,FDP
branchen,1,FDP
pflichten,4,FDP
eingehalten,4,FDP
teilhabe,6,FDP
sondervorschriften,1,FDP
integrationsfunktion,1,FDP
höchstüberlassungsdauer,1,FDP
aufheben,1,FDP
wichtig,4,FDP
funktionierendes,2,FDP
wohnortnahe,1,FDP
medizinischen,4,FDP
demographische,2,FDP
pandemien,3,FDP
krankenhäuser,3,FDP
absichern,1,FDP
investitionsfinanzierung,1,FDP
maximalversorgende,1,FDP
kleinere,2,FDP
bedarfsgerechte,4,FDP
vergütungssystem,1,FDP
strukturreform,2,FDP
stationären,2,FDP
sektor,2,FDP
weiterentwickelt,3,FDP
fehlanreize,1,FDP
überversorgung,1,FDP
überangebot,1,FDP
krankenhausleistungen,1,FDP
bereinigt,1,FDP
ungleichbehandlung,1,FDP
konfessionellen,1,FDP
trägern,1,FDP
planungshoheit,1,FDP
krankenkassen,9,FDP
versorgungsstrukturen,2,FDP
unabhängigkeit,6,FDP
robert,2,FDP
koch,2,FDP
instituts,1,FDP
rki,2,FDP
präsidentin,1,FDP
präsident,5,FDP
schaffender,1,FDP
vorstand,1,FDP
weisungsunabhängig,1,FDP
pandemische,1,FDP
notlagen,1,FDP
reagieren,3,FDP
klaren,3,FDP
politikabhängige,1,FDP
bundesbank,1,FDP
unabhängigen,2,FDP
institution,2,FDP
umzuwandeln,1,FDP
versorgungssicherheit,5,FDP
arzneimitteln,6,FDP
jederzeit,3,FDP
engpässe,1,FDP
vermieden,2,FDP
herstellung,3,FDP
verlagern,1,FDP
mittelpunkt,2,FDP
abbau,3,FDP
investitionsbezuschussungen,1,FDP
produktionsstätten,1,FDP
gewährung,1,FDP
benötigen,3,FDP
datensicherheit,2,FDP
gesundheitsakteuren,2,FDP
patientinnen,8,FDP
patienten,7,FDP
ausgestaltet,1,FDP
verfügbarkeit,2,FDP
patientendaten,1,FDP
arbeitsalltag,1,FDP
innovationsmotoren,1,FDP
krankenversorgung,1,FDP
robotische,1,FDP
assistenzsysteme,1,FDP
entbürokratisierung,3,FDP
bepreisung,3,FDP
berichtspflichten,1,FDP
bezahlen,2,FDP
anfordert,1,FDP
schärft,1,FDP
behandlung,3,FDP
klagen,1,FDP
zunehmende,4,FDP
bürokratische,3,FDP
auflagen,2,FDP
gegenteil,1,FDP
präventionsgesetz,2,FDP
bevormundung,1,FDP
kindergärten,1,FDP
gesunden,1,FDP
lebensstil,1,FDP
vermitteln,3,FDP
verhütung,2,FDP
krankheiten,1,FDP
lebenslangen,1,FDP
gesundheitslernens,1,FDP
erwachsene,2,FDP
informationen,6,FDP
prävention,9,FDP
krankheitsfrüherkennung,1,FDP
gesundheitsförderung,1,FDP
wichtige,7,FDP
altersunabhängig,1,FDP
kontrollierte,2,FDP
freigabe,2,FDP
cannabis,4,FDP
besitz,1,FDP
konsum,1,FDP
volljährige,2,FDP
erlauben,1,FDP
verkauf,2,FDP
lizenzierten,1,FDP
geschäften,1,FDP
kontrolliert,2,FDP
weitergabe,1,FDP
verunreinigten,1,FDP
substanzen,1,FDP
jugendschutz,1,FDP
ähnlich,1,FDP
zigaretten,1,FDP
besteuert,1,FDP
jährlich,4,FDP
milliarde,1,FDP
eingenommen,1,FDP
beachten,1,FDP
angesetzte,1,FDP
hoher,1,FDP
effektiven,4,FDP
eindämmung,1,FDP
schwarzmarktes,1,FDP
suchtbehandlung,1,FDP
eingesetzt,3,FDP
kriminalisiert,3,FDP
unzählige,2,FDP
immense,2,FDP
polizeiressourcen,1,FDP
illegalen,3,FDP
kontakt,1,FDP
dealern,1,FDP
härteren,1,FDP
drogen,1,FDP
anstrengungen,4,FDP
medizintechnik,1,FDP
zukunftsfähige,2,FDP
unbürokratischer,3,FDP
fördergeldern,1,FDP
biomedizin,1,FDP
birgt,3,FDP
gentherapien,1,FDP
regenerativer,1,FDP
medizin,2,FDP
offenere,1,FDP
innovationsfördernde,1,FDP
phasen,1,FDP
klinischen,1,FDP
hinweg,1,FDP
gesundheitsmedizin,1,FDP
treiber,1,FDP
optimalen,1,FDP
patientenversorgung,1,FDP
mobilisiert,1,FDP
geistiges,1,FDP
patentrecht,1,FDP
strikt,2,FDP
geschützt,5,FDP
seltene,1,FDP
erkrankungen,2,FDP
liberalen,13,FDP
gesundheitsversorgung,3,FDP
weiterhin,5,FDP
niedergelassene,1,FDP
ärztinnen,3,FDP
ärzte,3,FDP
zahnärztinnen,1,FDP
zahnärzte,1,FDP
tierärztinnen,1,FDP
tierärzte,1,FDP
apothekerinnen,1,FDP
apotheker,1,FDP
heilmittelerbringerinnen,1,FDP
heilmittelerbringer,1,FDP
hebammen,5,FDP
geburtshelfer,3,FDP
weisungen,1,FDP
entscheiden,10,FDP
therapiefreiheit,1,FDP
budgetierungszwang,1,FDP
zugute,1,FDP
vertrauensbeziehung,1,FDP
ärztin,2,FDP
patient,3,FDP
stück,1,FDP
heilmittelerbringern,1,FDP
begegnen,2,FDP
zahlung,1,FDP
schulgeldern,1,FDP
befreit,1,FDP
lebensende,2,FDP
liberales,5,FDP
sterbehilfegesetz,1,FDP
selbsttötung,1,FDP
anspruch,4,FDP
letal,1,FDP
wirkendes,1,FDP
medikament,1,FDP
wunsch,2,FDP
vollbesitz,1,FDP
geistigen,2,FDP
selbstbestimmungsrecht,1,FDP
planen,3,FDP
patientin,2,FDP
regional,1,FDP
patientenzentriert,1,FDP
sektorenbarriere,1,FDP
ambulanten,3,FDP
versorgungsbereich,1,FDP
versorgungsbereiche,1,FDP
rettungsdienst,1,FDP
notfallversorgungsstrukturen,1,FDP
bedarfsgerechter,1,FDP
vernetzter,3,FDP
integrierte,2,FDP
gesundheitszentren,1,FDP
regionale,3,FDP
grundversorgung,1,FDP
kurzstationären,1,FDP
behandlungen,2,FDP
raums,1,FDP
besonderen,2,FDP
versorgungsstruktur,1,FDP
ambulant,1,FDP
stationär,1,FDP
leiten,1,FDP
vergütungsregelungen,1,FDP
derzeit,2,FDP
behandlungsmethoden,1,FDP
krankenhaus,1,FDP
überführen,3,FDP
entscheidungsverfahren,1,FDP
stationäre,1,FDP
vergütung,1,FDP
unversorgt,1,FDP
psychische,2,FDP
wartezeiten,2,FDP
therapieplatz,1,FDP
therapieplätzen,1,FDP
aufklärung,5,FDP
psychologischen,1,FDP
psychotherapeutinnen,2,FDP
psychotherapeuten,2,FDP
anzahl,3,FDP
kassensitze,1,FDP
psychologie,1,FDP
psychotherapie,1,FDP
schulpsychologische,1,FDP
beratungsangebote,3,FDP
schulsozialarbeiterinnen,1,FDP
arbeiter,1,FDP
verfügbar,2,FDP
aufklärungskampagne,1,FDP
entstigmatisierung,1,FDP
psychischer,2,FDP
wesentliche,1,FDP
lebensqualität,2,FDP
sensibilisiert,1,FDP
geholfen,2,FDP
effizienz,3,FDP
innovationssteigernden,1,FDP
kassen,1,FDP
sorgt,2,FDP
versorgt,1,FDP
spielraum,1,FDP
verträge,3,FDP
leistungserbringern,1,FDP
versorgungsformen,1,FDP
selbstbeteiligungen,1,FDP
bonuszahlungen,1,FDP
beitragsrückerstattungen,1,FDP
gesteuert,2,FDP
wirtschaftlichkeitsreserven,1,FDP
kostenübernahme,1,FDP
verhütungsmethoden,1,FDP
22,1,FDP
lebensjahr,3,FDP
mündige,1,FDP
gesetzlicher,3,FDP
gkv,1,FDP
pkv,1,FDP
solidarisches,1,FDP
krankenversicherungsvielfalt,1,FDP
freiheitliche,3,FDP
patienteninteressen,1,FDP
rücken,2,FDP
bieten,5,FDP
modellen,2,FDP
wählen,2,FDP
apotheken,2,FDP
rezeptpflichtigen,1,FDP
inländischen,1,FDP
ausländischen,1,FDP
versandapotheken,1,FDP
versandhandelsverbot,1,FDP
rezeptpflichtige,1,FDP
arzneimittel,1,FDP
apothekenwahl,1,FDP
pflegebedürftigkeit,2,FDP
unfall,1,FDP
krankheit,1,FDP
menschliche,1,FDP
dramatischen,1,FDP
mangel,1,FDP
pflegefachkräften,1,FDP
oftmals,2,FDP
überlastet,1,FDP
ansprüchen,2,FDP
frustrierend,1,FDP
selten,1,FDP
burn,1,FDP
berufsaufgabe,1,FDP
entgegenwirken,1,FDP
zuwendung,1,FDP
bürokratieabbau,2,FDP
pflegebereich,2,FDP
beruflich,2,FDP
pflegenden,3,FDP
zentraler,1,FDP
erarbeitung,1,FDP
fachliche,1,FDP
expertise,2,FDP
personalbemessung,1,FDP
personalmangel,1,FDP
ursprung,1,FDP
angreifen,1,FDP
personal,6,FDP
pflegeausbildung,1,FDP
inhalte,2,FDP
pflegerischen,2,FDP
leistungsgerechte,1,FDP
pflegeberufen,1,FDP
anspruchsvoller,1,FDP
empathisch,1,FDP
geprägt,2,FDP
wiederfinden,1,FDP
berufsbiographie,1,FDP
assistenzkraft,1,FDP
pflegeprofessur,1,FDP
pflegewissenschaften,1,FDP
berufsfeld,1,FDP
personengruppen,2,FDP
zulasten,2,FDP
bekommen,2,FDP
adäquat,1,FDP
lückenbüßern,1,FDP
berechnung,1,FDP
pflegeschlüssels,1,FDP
herangezogen,2,FDP
abkehr,1,FDP
reinen,2,FDP
pflegepersonal,2,FDP
untergrenzen,1,FDP
instrument,2,FDP
ausgewogenen,1,FDP
qualifikationsmix,1,FDP
digitalisierungsschub,1,FDP
automatisierung,3,FDP
pflegende,3,FDP
elektronischen,1,FDP
patientenkurve,1,FDP
automatisierte,1,FDP
medikamentenausgabe,1,FDP
robotischen,1,FDP
lagerungshilfen,1,FDP
maßgeblich,2,FDP
erleichterung,1,FDP
arbeitsalltags,1,FDP
pflegender,1,FDP
pflegebedürftige,1,FDP
medikationsänderungen,1,FDP
angehörige,2,FDP
kurzzeitpflegeplätzen,1,FDP
tragende,1,FDP
säule,4,FDP
niedrigschwellige,1,FDP
kurzzeitpflegeplätze,1,FDP
betreuung,4,FDP
demenz,1,FDP
aufsuchende,1,FDP
demenzfreundlicher,1,FDP
quartiere,1,FDP
häuslichen,1,FDP
telepflege,1,FDP
gebieten,2,FDP
könnten,2,FDP
gewohnten,2,FDP
umfeld,2,FDP
pflegebudget,2,FDP
pflegebudgets,1,FDP
gestaltung,3,FDP
alltags,2,FDP
leistungsansprüche,1,FDP
pflegegrade,1,FDP
monatliches,1,FDP
unbürokratisch,4,FDP
verfügt,1,FDP
generationengerechte,1,FDP
pflegeversicherung,3,FDP
teilleistung,1,FDP
festzuhalten,1,FDP
kapitaldeckungselemente,1,FDP
ergänzen,4,FDP
rente,10,FDP
bestehend,1,FDP
betrieblicher,3,FDP
betrieblichen,1,FDP
pflegezusatzvorsorge,1,FDP
endet,1,FDP
unvertretbar,1,FDP
pflegefinanzierung,1,FDP
abzuwälzen,1,FDP
starke,10,FDP
wichtigsten,1,FDP
persönlichsten,1,FDP
lieben,2,FDP
erziehen,2,FDP
aufziehen,1,FDP
füreinander,2,FDP
übernehmen,8,FDP
familienpolitik,1,FDP
sorge,7,FDP
adoptions,1,FDP
reproduktions,1,FDP
abtreibungsrecht,1,FDP
kinderchancengeld,3,FDP
grundbetrag,1,FDP
flexibetrag,1,FDP
nichtmateriellem,1,FDP
chancenpaket,1,FDP
ausgeweitet,1,FDP
selbstständig,2,FDP
kinderchancenportal,1,FDP
kinderleicht,1,FDP
abgerufen,1,FDP
einfach,5,FDP
elterngeld,3,FDP
partnerschaftsbonus,2,FDP
ungerechtigkeiten,1,FDP
insolvenzgeld,1,FDP
mischeinkünften,1,FDP
elterngeldplus,1,FDP
passen,1,FDP
lebensrealität,1,FDP
partnermonate,2,FDP
verlängern,5,FDP
bezugsdauer,1,FDP
mindest,1,FDP
maximalbeträge,1,FDP
inflationsausgleich,1,FDP
ausgewogenere,1,FDP
aufteilung,2,FDP
familienarbeit,1,FDP
elternteilen,2,FDP
auszubildendenfreibetrag,1,FDP
freibetrag,5,FDP
unterhaltsleistungen,1,FDP
haushaltsnahen,1,FDP
splittingverfahren,1,FDP
ehe,2,FDP
eingetragene,1,FDP
lebenspartnerschaften,1,FDP
festhalten,2,FDP
sinnvoll,3,FDP
steuerschuld,1,FDP
abzuziehenden,1,FDP
steuergutschriften,1,FDP
niedrigen,1,FDP
heim,2,FDP
pflegekinder,2,FDP
studienberatung,1,FDP
jugendpflegeeinrichtungen,1,FDP
verdientes,2,FDP
behalten,1,FDP
unterbringung,3,FDP
verlängerung,1,FDP
jugendheim,1,FDP
pflegefamilien,1,FDP
unkompliziert,4,FDP
solange,5,FDP
befinden,1,FDP
erlangung,1,FDP
schulabschlüssen,1,FDP
hochschulreife,1,FDP
fortpflanzungsmedizingesetz,2,FDP
legalisierung,1,FDP
eizellspende,1,FDP
klarstellung,1,FDP
embryonenspende,1,FDP
nichtkommerzielle,1,FDP
leihmutterschaft,1,FDP
reproduktionsmedizin,1,FDP
familienstand,1,FDP
sexuellen,3,FDP
zugänglich,3,FDP
ungewollt,1,FDP
kinderlose,1,FDP
kinderwunschbehandlungen,1,FDP
bundesförderung,1,FDP
landesbeteiligung,1,FDP
abhängig,3,FDP
vorlage,1,FDP
indikation,1,FDP
paare,2,FDP
trauschein,1,FDP
alleinstehende,1,FDP
mehrelternschaft,1,FDP
elternschaftsvereinbarungen,2,FDP
rechtlich,5,FDP
mehrelternschaften,1,FDP
rechtswirksame,1,FDP
empfängnis,1,FDP
elternteile,1,FDP
kindeswohls,1,FDP
überforderung,1,FDP
erwachsenenalter,1,FDP
quotierungen,1,FDP
unterhaltsrechtlichen,1,FDP
ehefrau,1,FDP
leiblichen,2,FDP
mutter,2,FDP
gerichteten,1,FDP
samenspende,1,FDP
gezeugt,1,FDP
leibliche,1,FDP
vater,1,FDP
anderweitig,1,FDP
einvernehmen,1,FDP
erklärt,1,FDP
adoptionsrecht,2,FDP
adoptionen,1,FDP
unverheirateten,1,FDP
paaren,2,FDP
unverheiratete,2,FDP
verheirateten,1,FDP
gleichgestellt,1,FDP
vermeidung,1,FDP
adoptionsverfahren,1,FDP
anonym,3,FDP
stiefkindadoptionen,1,FDP
verwandtschaftsverhältnis,1,FDP
einvernehmlich,1,FDP
gewünscht,1,FDP
kindeswohl,4,FDP
befürworten,2,FDP
unverhältnismäßigen,1,FDP
freiberuflichen,1,FDP
fachfremden,1,FDP
tätigkeiten,2,FDP
engagierten,1,FDP
schulabsolventinnen,1,FDP
schulabsolventen,1,FDP
mindestvorgaben,1,FDP
hebammenberufes,1,FDP
erfüllen,6,FDP
bezüglich,1,FDP
ziels,1,FDP
finanzierten,1,FDP
dennoch,3,FDP
geburtshilfe,1,FDP
tätig,1,FDP
ergänzenden,1,FDP
mütterpflegekraft,1,FDP
nachsorge,1,FDP
wochenbett,1,FDP
einzuführen,2,FDP
219a,2,FDP
strafgesetzbuch,2,FDP
paragraf,1,FDP
strafgesetzbuchs,1,FDP
stgb,2,FDP
ersatzlos,1,FDP
abwegig,1,FDP
sachliche,2,FDP
homepage,1,FDP
arztes,1,FDP
legalen,2,FDP
ärztlichen,1,FDP
eingriff,4,FDP
strafbares,2,FDP
unrecht,2,FDP
schwangerschaftsabbruch,1,FDP
paragrafen,1,FDP
218,1,FDP
ff,1,FDP
straffrei,2,FDP
information,3,FDP
vielmehr,2,FDP
schwierigen,1,FDP
genau,3,FDP
seriösen,1,FDP
verlässliche,5,FDP
flächendeckendes,1,FDP
objektives,1,FDP
beratungsnetzwerk,1,FDP
konfliktberatung,1,FDP
durchgeführt,2,FDP
selbstbestimmungsgesetz,2,FDP
geschlechtliche,3,FDP
identität,6,FDP
transsexuellengesetz,1,FDP
ersetzen,5,FDP
änderungen,1,FDP
geschlechtseintrags,1,FDP
personenstand,1,FDP
diskriminierende,2,FDP
selbstauskunft,1,FDP
erweitertes,1,FDP
offenbarungsverbot,1,FDP
aufklärungs,1,FDP
geschlechtsangleichender,1,FDP
übernommen,1,FDP
medizinisch,2,FDP
genitalverändernde,1,FDP
operationen,1,FDP
intergeschlechtlichen,2,FDP
wirksam,5,FDP
verbieten,1,FDP
verantwortungsgemeinschaft,5,FDP
verankern,4,FDP
stufenweise,1,FDP
variiert,1,FDP
persönlich,1,FDP
nahestehen,1,FDP
verheiratet,1,FDP
verpartnert,1,FDP
gerader,1,FDP
linie,2,FDP
verwandt,1,FDP
namensrecht,1,FDP
unberührt,2,FDP
aufenthaltsberechtigungen,1,FDP
arbeitserlaubnis,1,FDP
begründet,1,FDP
traditionelle,1,FDP
familienstrukturen,1,FDP
formen,3,FDP
gegenseitiger,2,FDP
grundgedanke,1,FDP
größtmögliche,1,FDP
maximaler,1,FDP
wechselmodell,2,FDP
leitbild,5,FDP
minderjähriger,1,FDP
berechtigt,1,FDP
verpflichtet,4,FDP
unterhalt,1,FDP
substantiellen,1,FDP
vorsehen,2,FDP
erziehungs,1,FDP
unterhaltsverantwortung,1,FDP
gemeinschaftlich,1,FDP
ausgeübt,1,FDP
entgegensteht,1,FDP
umgangsrecht,1,FDP
großeltern,3,FDP
enkelkindern,3,FDP
umgang,6,FDP
entscheidender,2,FDP
privatsphäre,5,FDP
kernanliegen,1,FDP
weitergehender,1,FDP
überwachungsbefugnisse,2,FDP
polizei,14,FDP
justiz,6,FDP
unnötiger,2,FDP
befreien,3,FDP
grundrechte,5,FDP
unbescholtener,1,FDP
personenbezogene,4,FDP
eindeutigen,1,FDP
zweck,1,FDP
verwendet,3,FDP
informationelle,3,FDP
technische,5,FDP
privacy,2,FDP
and,5,FDP
default,1,FDP
assistenz,1,FDP
pims,1,FDP
wirtschaftsgut,1,FDP
agb,1,FDP
datenwirtschaftsordnung,1,FDP
datenschutzrecht,1,FDP
auswirkungen,2,FDP
kerngeschäft,1,FDP
verpflichtungen,4,FDP
datenschutzrechtlich,1,FDP
aufwendige,1,FDP
nutzbar,3,FDP
konstruktion,1,FDP
hard,1,FDP
herstellern,1,FDP
mitgedacht,1,FDP
ausübung,1,FDP
zielgenauere,1,FDP
datenschutzrechtliche,1,FDP
telekommunikationsdaten,1,FDP
datenverarbeitung,1,FDP
schutzniveau,1,FDP
grundverordnung,1,FDP
unterschreiten,1,FDP
liberale,6,FDP
datenpolitik,2,FDP
setzt,7,FDP
voraus,2,FDP
mitnehmen,1,FDP
datenportabilität,1,FDP
mittelfristig,3,FDP
telefonnetz,1,FDP
diensten,1,FDP
verschiedener,2,FDP
anbieter,1,FDP
schnittstellen,1,FDP
bereitzuhalten,1,FDP
weiten,3,FDP
nutzerinnen,1,FDP
nutzer,1,FDP
nutzungsrecht,1,FDP
erzeugung,2,FDP
mitgewirkt,1,FDP
generelle,1,FDP
datenteilungspflicht,1,FDP
sammlung,1,FDP
aufbereitung,1,FDP
personenbezogener,3,FDP
amortisieren,1,FDP
stattdessen,2,FDP
datenbeständen,1,FDP
sektorbezogen,1,FDP
entgelt,2,FDP
datenbestände,1,FDP
grundsätzliche,1,FDP
elektronischer,1,FDP
kommunikation,2,FDP
einschränkung,2,FDP
einsatzes,1,FDP
kryptographie,1,FDP
offenhalten,2,FDP
netzverkehrs,1,FDP
eigentums,2,FDP
vertraulichkeit,1,FDP
totalüberwachung,2,FDP
mittels,4,FDP
durchsuchung,2,FDP
quellen,2,FDP
tkü,2,FDP
potentiell,1,FDP
lückenlose,1,FDP
überwachung,8,FDP
staatstrojanern,1,FDP
nachrichtendienstlichen,1,FDP
kernbereich,1,FDP
lebensgestaltung,1,FDP
unterbleiben,1,FDP
quellentelekommunikationsüberwachung,1,FDP
maßstab,1,FDP
ausnutzung,1,FDP
geregeltes,1,FDP
ermittlungszwecke,1,FDP
aufkaufen,1,FDP
umgehend,2,FDP
bsi,1,FDP
melden,1,FDP
schließung,1,FDP
lücke,2,FDP
herbeiführt,1,FDP
grundsätzen,2,FDP
koordiniert,2,FDP
veröffentlicht,1,FDP
quick,2,FDP
freeze,2,FDP
vorratsdatenspeicherung,2,FDP
anlasslose,2,FDP
speicherung,3,FDP
telekommunikationsverbindungsdaten,1,FDP
vorrat,1,FDP
stellt,1,FDP
generalverdacht,3,FDP
ansicht,1,FDP
gerichtshofs,1,FDP
verstößt,1,FDP
grundrechtsschonende,1,FDP
verdachtsfall,1,FDP
richterliche,1,FDP
anordnung,1,FDP
anonymität,5,FDP
automatisierten,2,FDP
gesichtserkennung,2,FDP
videoüberwachung,4,FDP
ersatz,2,FDP
allheilmittel,1,FDP
massenhaften,1,FDP
droht,1,FDP
zwecken,1,FDP
kritisch,2,FDP
